text,category
"IKA
CIF: 32038295L
Fecha: 28/7/2026
------------- ---------
MEA  22.13
BRICOLAJE  13.42
BOMBILLA  38.26
----------------------
TOTAL EUR  12.88
CAJERO",hogar
"Y6LMO CINES
CIF: 94300334M
Fecha : 17/8/2026
----------------------
TE ATRO  1.14
RESTAURAN2E  14.22
ENTRADA  29.87
CONCIER TO  37.5
----------------------
TOTAL EUR  193.47
CAMBIO",ocio
"CANAL DE ISABEL II
CIF: 2480180O
Fecha: 12/10/2026
----------------------
INTERET  26.83
BRICOLA&E  8.28
LUZ  14.85
B OMBILLA  25.78
IKEA  7.35
----------------------
TOTAL EUR  11.06
FACTURA",hogar
"MCF1T
CIF: 88870571A
Fecha: 8/4/2026
----------------------
AMAZON PRIME  13.76
GIMNASIO  26.01
----------------------
TOTAL EUR  151. 94
TICKET",suscripciones
"BASIC-@IT
CIF: 13071663I
Fecha: 28/8/2026
----------------------
REVI STA  36.03
SPOTIFY  35.13
SOFTWARE  26.09
----------------------
TOTAL EUR  177.75
IVA",suscripciones
"ADESAS
CIF: 83266248Q
Fecha: 6/7/2026
----------------------
DENTITA  32.19
CLINCA  8.41
----------------------
TOTAL EUR  152.9
TICKET",salud
"MULTIOICAS
CIF: 87912039T
Fecha: 22/3/2026
----------------------
LENTI&LAS  5.83
MASAJE  11.18
OPTICA  38.92
----------------------
TOTAL EUR  125.27
GRACIAS POR SU VISITA",salud
"TMB
CIF: 75166414D
Fecha: 3/4/2026
----------------------
DIESEL  16.88
ESTACIONAMIENTO  39.61
----------------------
TOTAL EUR  139.54
EFECTIVO",transporte
"KFC
CIF: 67677369K
Fecha: 22/11/2026
----------------------
CERVEZA  9.44
CINE  21.66
HAMBURGUESA  13.91
----------------------
TOTAL EUR  138.18
TOTAL",ocio
"EROKI
CIF: 47455026R
Fecha: 5/12/2026
----------------------
PAN  39.9
ARROZ  40.77
YOGUR  21.22
LECHE  35.5
PSCADO  44.87
----------------------
TOTAL EUR  85.65
IVA",alimentacion
"SAITAS
CIF: 38744226B
Fecha: 27/3/2026
----------------------
MASAJE  38.28
REVISION  32.82
F&SIO  22.98
----------------------
TOTAL EUR  23.2
TICKET",salud
"ZARA
CIF: 526 85776G
Fecha: 6/9/2026
----------------------
JEREY  25.31
DEPORTE  23.03
BOL6O  5.48
ZAPATOS  42.88
----------------------
TOTAL EUR  101.28
EFECTIVO",ropa
"MCFIT
CIF: 71345380M
Fecha: 2/10/2026
----------------------
SUSCRIPCION  20.49
SP0TIFY  37.46
MENSUALIDAD  27.05
L ICENCIA  4.96
----------------------
TOTAL EUR  14.11
CAJERO",suscripciones
"OYS HO
CIF: 10989659G
Fecha: 9/9/2026
----------------------
FALDA  35.14
ROPA INTERIOR  17.99
BOLO  8.12
----------------------
TOTAL EUR  54.96
FECHA",ropa
"GINOS
CIF: 54782813Y
Fecha: 19/1/2026
----------------------
CENA  34.95
MUSEO  42.61
ME@U  8.33
REST AURANTE  1.04
HAMBURGUESA  27.41
----------------------
TOTAL EUR  66.27
FECHA",ocio
"160 MONTADITOS
CIF: 14818949M
Fecha: 11/11/2026
----------------------
COMI DA  12.62
ME NU  34.61
CENA  49.97
PALOMITAS  41.86
CONC2ERTO  3.45
----------------------
TOTAL EUR  106.8
EUR",ocio
"AE4A
CIF: 59337958G
Fecha: 18/11/2026
----------------------
BILLETE  29.93
UBER  17.93
AVE  21.05
VUELO  6.09
MENSAL  14.01
EST3CIONAMIENTO  27.95
----------------------
TOTAL EUR  61.4
FACTURA",transporte
"ALCAM PO
CIF: 76757154F
Fecha: 26/5/2026
----------------------
POLLO  27.19
FRUTA  35.61
----------------------
TOTAL EUR  192.53
TICKET",alimentacion
"ORANGE
CIF: 72601979Q
Fecha: 18/4/2026
----------------------
MUEBLE  7.08
BOMBILLA  14.83
BRICOLAE  28.31
MESA  22.79
----------------------
TOTAL EUR  141.81
EUR",hogar
"H&M
CIF: 68732799V
Fecha: 26/1/2026
----------------------
ZAPA5OS  6.37
ROPA INTERIOR  25.56
BOLSO  49.32
----------------------
TOTAL EUR  90.68
EUR",ropa
"EL CORTE INGLES
CIF: 51223547I
Fecha: 7/7/2026
----------------------
CHAQUETA  31.8
CINTURON  1.63
VESTIDO  5.91
---------2------------
TOTAL EUR  125.03
EFECTIVO",ropa
"BRICO DE4OT
CIF: 83730686K
Fecha: 20/11/2026
----------------------
ESTANTERIA  46.33
INTERNET  16.64
BOMBILLA  17.49
----------------------
TOTAL EUR  89.84
CAMBIO",hogar
"CONSUM
CIF: 30695400X
Fecha: 21/9/2026
----------------------
HUEVOS  47.06
F*UTA  39.15
----------------------
TOTAL EUR  159.5
CAJERO",alimentacion
"100 MONTADITOS
CIF: 89199302S
Fecha: 24/5/2026
----------------------
CERVEZA  33.2
TEATRO  20.99
C1NA  36.23
CONCIERTO  4.46
COMIDA  35.18
----------------------
TOTAL EUR  182.43
FECHA",ocio
"DIA
CIF: 60025405P
Fecha: 26/8/2026
----------------------
CEREAL  43.53
CARNE  38.61
PAN  13.93
----------------------
TOTAL EUR  177.18
CAJERO",alimentacion
"BER SHKA
CIF: 29220125O
Fecha: 20/9/2026
----------------------
ZAPATOS  19.9
FA LDA  45.77
C HAQUETA  8.67
CAMI!A  14.29
VESTIDO  8.86
----------------------
TOTAL EUR  32.15
FECHA",ropa
"YELMO CINES
CIF: 19729615B
Fecha: 26/2/2026
----------------------
ENRADA  17.27
HAMBUGUESA  25.63
CENA  25.59
----------------------
TOTAL EUR  70.16
GRACIAS POR SU VISITA",ocio
"AENA
CIF: 62864788I
Fecha: 18/8/2026
----------------------
GASOLINA  38.61
TA%I  4.81
----------------------
TOTAL EUR  63.03
IVA",transporte
"ZARA
CIF: 59861968Y
Fecha: 9/6/2026
----------------------
J ERSEY  11.34
ZAPA TOS  8.66
PA7ALON  38.17
BOLSO  21.47
CALCETINES  41.58
----------------------
TOTAL EUR  74.63
CAMBIO",ropa
"DIA
CIF: 36666443G
Fecha: 26/2/2026
----------------------
REFRES CO  26.76
CA R5E  36.51
PAN  20.4
CEREAL  35.43
----------------------
TOTAL EUR  114.08
CAMBIO",alimentacion
"BASIC-FIT
CIF: 14108953R
Fecha: 27/7/2026
----------------------
SOFTWARE  42.4
GIMNASIO  33.18
0ENSA  16.71
----------------------
TOTAL EUR  53.67
CAJERO",suscripciones
"FARMACIA
CIF: 4590176F
Fecha: 13/2/2026
----------------------
PARACETA MOL  46.02
R2VISION  19.49
----------------------
TOTAL EUR  153.77
GRACIAS POR SU VISITA",salud
"100 MONTADITOS
CIF: 87615278S
Fecha: 9/2/2026
----------------------
M ENU  6.43
PALOMITAS  2.59
PIZZA  14.17
----------------------
TOTAL EUR  177.35
FECHA",ocio
"TMB
CIF: 32490038W
Fecha: 7/5/2026
----------------------
P1AJE  2525
BONO  48.45
----------------------
TOTAL EUR  185.81
TOTAL",transporte
